OriginalListPrice,ListingKey,CloseDate,ClosePrice,ListAgentFirstName,ListAgentLastName,Latitude,Longitude,UnparsedAddress,PropertyType,LivingArea,ListPrice,DaysOnMarket,ListOfficeName,BuyerOfficeName,CoListOfficeName,ListAgentFullName,CoListAgentFirstName,CoListAgentLastName,BuyerAgentMlsId,BuyerAgentFirstName,BuyerAgentLastName,FireplacesTotal,AssociationFeeFrequency,AboveGradeFinishedArea,ListingKeyNumeric,MLSAreaMajor,TaxAnnualAmount,CountyOrParish,PropertyType,MlsStatus,ElementarySchool,ListAgentFirstName,AttachedGarageYN,ParkingTotal,BuilderName,PropertySubType,LotSizeAcres,SubdivisionName,BuyerOfficeAOR,YearBuilt,DaysOnMarket,StreetNumberNumeric,LivingArea,ListingId,BathroomsTotalInteger,City,TaxYear,BuildingAreaTotal,BedroomsTotal,ContractStatusChangeDate,Longitude,ElementarySchoolDistrict,CoBuyerAgentFirstName,PurchaseContractDate,ListingContractDate,BelowGradeFinishedArea,BusinessType,Latitude,ListPrice,StateOrProvince,CoveredSpaces,MiddleOrJuniorSchool,FireplaceYN,Stories,HighSchool,Levels,ListAgentLastName,CloseDate,LotSizeDimensions,LotSizeArea,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,PostalCode,BuyerOfficeName,AssociationFee,LotSizeSquareFeet,MiddleOrJuniorSchoolDistrict,UnparsedAddress
27000.0,1155877325,,,Georgie,Fenton,33.605898,-117.89362,203 Sapphire,ResidentialLease,2347.0,27000.0,0,Coldwell Banker Realty,,,Georgie Fenton,,,,,,,,,1155877325,N9 - Lower Newport Bay - Balboa Island,,Orange,ResidentialLease,Active,,Georgie,True,2.0,,SingleFamilyResidence,0.0585,Balboa Island - Main Island (BALM),,2019,0,203,2347.0,OC26031840,4,Newport Beach,,,3,2026-02-05,-117.89362,,,,2026-02-05,,,33.605898,27000.0,CA,,,True,2,Corona Del Mar,Two,Fenton,,,2550.0,0,False,2.0,Newport Mesa Unified,92662,,0.0,2550.0,,203 Sapphire
699000.0,1155873898,,,Ryan,Caron,32.696978,-117.009878,8773 Leigh Ave,Residential,1189.0,699000.0,0,Real Broker,,Real Broker,Ryan Caron,Danielle,Caron,,,,,,,1155873898,91977 - Spring Valley,,San Diego,Residential,Active,,Ryan,True,2.0,,SingleFamilyResidence,0.1331,,,1967,0,8773,1189.0,PTP2602258,2,Spring Valley,,,3,2026-02-19,-117.009878,,,,2026-02-19,,,32.696978,699000.0,CA,,,False,1,,One,Caron,,,5800.0,,,2.0,Sweetwater Union,91977,,0.0,5800.0,,8773 Leigh Ave
2899000.0,1155873726,,,Rob,Depaoli,33.893323,-118.411866,448 23rd,Residential,1837.0,2899000.0,0,Compass,,Vista Sotheby’s International Realty,Rob Depaoli,Barry,Host,,,,,,,1155873726,142 - Manhattan Bch Sand,,Los Angeles,Residential,Active,Grand View,Rob,True,3.0,,Townhouse,0.0623,,,2000,0,448,1837.0,SB26063819,4,Manhattan Beach,,,3,2026-02-13,-118.411866,,,,2026-02-13,,,33.893323,2899000.0,CA,,Manhattan Beach,True,,Mira Costa,ThreeOrMore,Depaoli,,,2715.0,2,False,2.0,Manhattan Unified,90266,,0.0,2715.0,,448 23rd
399000.0,1155871031,,,Annette,Garten,39.529567,-121.567992,6 Orangewood,ResidentialIncome,,399000.0,0,LPT Realty,,,Annette Garten,,,,,,,,,1155871031,,,Butte,ResidentialIncome,Active,,Annette,,2.0,,Duplex,0.16,,,1980,0,6,,SN26048645,,Oroville,,2032.0,,2026-02-23,-121.567992,,,,2026-02-23,,,39.529567,399000.0,CA,,,True,1,,One,Garten,,,6970.0,,False,1.0,,95965,,0.0,6970.0,,6 Orangewood
1349000.0,1155870845,,,Lauren,Luczyski,34.132167,-118.178722,524 Glen Holly Drive,Residential,1550.0,1349000.0,0,COMPASS,,COMPASS,Lauren Luczyski,Cynthia,Luczyski,,,,,,,1155870845,647 - Pasadena (SW),,Los Angeles,Residential,Active,McKinley,Lauren,False,2.0,,SingleFamilyResidence,0.1553,,,1938,0,524,1550.0,P1-26426,2,Pasadena,,,2,2026-02-10,-118.178722,,,,2026-02-10,,,34.132167,1349000.0,CA,,,True,1,Blair,One,Luczyski,,,6767.0,,False,2.0,,91105,,,6767.0,,524 Glen Holly Drive
750000.0,1155868238,,,Jimmy,Rashid,34.276961,-118.535806,11348 Reseda B,Residential,1500.0,750000.0,0,Berkshire Hathaway HomeServices California Properties,,,Jimmy Rashid,,,,,,,,,1155868238,PORA - Porter Ranch,,Los Angeles,Residential,Active,,Jimmy,,2.0,,CoOwnership,0.1795,,,1965,0,11348,1500.0,SR26064531,3,Porter Ranch,,,3,2026-02-26,-118.535806,,,,2026-02-26,,,34.276961,750000.0,CA,,,False,2,,Two,Rashid,,,7821.0,1,False,0.0,Los Angeles Unified,91326,,0.0,7821.0,,11348 Reseda B
1200000.0,1155868139,,,Nasheen,Noor,33.885573,-118.229051,420 W W Tichenor,Residential,2061.0,1200000.0,0,Keller Williams Realty,,,Nasheen Noor,,,,,,,,,1155868139,RPRK - Rancho Park,,Los Angeles,Residential,Active,,Nasheen,False,2.0,,SingleFamilyResidence,0.3846,,,1941,0,420,2061.0,OC26064540,2,Compton,,,3,2026-02-27,-118.229051,,,,2026-02-27,,,33.885573,1200000.0,CA,,,True,1,Compton,One,Noor,,,16755.0,3,False,2.0,Compton Unified,90220,,0.0,16755.0,,420 W W Tichenor
1998000.0,1155866218,,,Debbie,Neugebauer,33.709956,-118.027534,17372 Forbes,Residential,2488.0,1998000.0,0,Seven Gables Real Estate,,Real Broker,Debbie Neugebauer,Qiwei,Nie,,,,,,,1155866218,15 - West Huntington Beach,,Orange,Residential,Active,,Debbie,True,2.0,,SingleFamilyResidence,0.1378,Calif. Classics By The Sea (CCBS),,1968,0,17372,2488.0,OC26061984,3,Huntington Beach,,,4,2026-02-21,-118.027534,,,,2026-02-21,,,33.709956,1998000.0,CA,,,False,2,,Two,Neugebauer,,,6004.0,1,False,2.0,Huntington Beach Union High,92649,,0.0,6004.0,,17372 Forbes
749000.0,1155864458,,,Kyler,Hamann,35.902397,-120.446186,70331 Vineyard Canyon Rd.,Residential,1724.0,749000.0,0,RE/MAX Parkside Real Estate,,,Kyler Hamann,,,,,,,,,1155864458,,,Monterey,Residential,Active,,Kyler,True,2.0,,SingleFamilyResidence,8.7,,,1995,0,70331,1724.0,NS26063904,2,Parkfield,,,4,2026-02-25,-120.446186,,,,2026-02-25,,,35.902397,749000.0,CA,,,True,1,,One,Hamann,,,8.7,4,False,2.0,Shandon Joint Unified,93451,,0.0,378972.0,,70331 Vineyard Canyon Rd.
1500000.0,1155861266,2026-03-24,1325000.0,Joe,Ghio,32.78079786,-117.25215655,811 Niantic Ct,Residential,816.0,1500000.0,0,Coldwell Banker West,OUT OF AREA,Coldwell Banker West,Joe Ghio,Valerie,Cites,IRECP,OUT OF,AREA,,,,1155861266,92109 - Pacific Beach,,San Diego,Residential,Closed,,Joe,,1.0,,SingleFamilyResidence,,Mission Beach,Mrmls,1925,0,811,816.0,260006932SD,2,San Diego,,,2,2026-03-24,-117.25215655,,,2026-03-02,2026-02-16,,,32.78079786,1500000.0,CA,,,False,1,,One,Ghio,2026-03-24,,,,False,0.0,,92109,OUT OF AREA,,,,811 Niantic Ct
